Neighborhood,AvgRent,Studio,OneBed,TwoBed,ThreeBed
Loyal Heights,"1,718",971,"1,288","2,595","2,495"
Adams,"2,091",975,"1,485","1,996","2,329"
Whittier Heights,"1,718",,"1,345","2,200","3,000"
West Woodland,"1,902",885,"1,310","1,795","2,700"
Phinney Ridge,"1,889","1,235","1,395","2,171","2,695"
Wallingford,"1,918","1,110","1,607","2,150","3,100"
Fremont,"1,902","1,195","1,550","1,895","3,500"
Green Lake,"1,803","1,150","1,495","2,060","2,995"
View Ridge,"1,733",,"1,495","2,200",
Ravenna,"1,845","1,340","1,795","2,900","2,848"
Sand Point,"1,733",,,,
Bryant,"1,845",,"1,473","1,648","2,795"
Windermere,"1,845","1,300",,,"3,000"
Laurelhurst,"1,925",,"1,423","1,950","3,995"
Roosevelt,"1,733",995,"1,495","2,208","2,995"
University District,"1,925","1,025","1,225","1,695","1,995"
East Queen Anne,"2,215","1,095","1,495","2,035","3,100"
West Queen Anne,"1,893","1,095","1,523","1,995","3,245"
Lower Queen Anne,"2,155","1,138","1,749","2,410","2,900"
North Queen Anne,"2,155","1,095","1,395","2,095","3,100"
Westlake,"2,215","1,345","1,991","2,250",
Eastlake,"2,146",950,"1,395","1,800","2,700"
South Lake Union,"2,215","1,395","1,750","2,750","3,994"
Lawton Park,"1,841",,"1,395","1,848","3,295"
Briarcliff,"1,841",,,,"4,400"
Southeast Magnolia,"1,841","1,450","1,495","1,725","3,650"
Madrona,"1,886",,"1,395","1,925","2,850"
Harrison/Denny-Blaine,"1,803",,,,
Minor,"1,886","1,150","1,350","1,895","2,375"
Leschi,"1,893",,"1,350","1,650","2,725"
Mann,"1,879","1,109","1,189","1,895","2,195"
Atlantic,"1,922","1,175","1,475","1,945","2,795"
Pike-Market,"2,429","2,095","2,880","3,500",
Belltown,"2,429","1,250","1,939","3,095","4,679"
International District,"1,908",995,"1,662","2,100",
Central Business District,"2,319","1,648","2,190","2,701","6,995"
First Hill,"2,140","1,075","1,818","2,173","6,862"
Yesler Terrace,"1,891",,,,
Pioneer Square,"1,901","1,224","1,495","3,600",
Interbay,"1,884","1,445","1,628","1,986","2,595"
Industrial District,"1,757",,,,
Georgetown,"1,394","2,765","1,425","1,899",
South Park,"1,394","1,250",,,
Harbor Island,"1,757",,,,
Seaview,"1,813",,"1,520","1,895",
Gatewood,"1,712",,"1,195","1,725","2,523"
Arbor Heights,"1,663",,,"2,395",
Alki,"1,813","1,195","1,400","1,773","3,950"
North Admiral,"1,776","1,225","1,666","1,845","3,150"
Fairmount Park,"1,712",925,"1,250","1,695","2,450"
Genesee,"1,776","1,475","1,445","2,100","3,095"
Fauntleroy,"1,663",,"1,355","2,500","2,995"
North Beacon Hill,"1,859","1,350","1,450","1,910","2,995"
Mid-Beacon Hill,"1,667",,"1,350","2,400","2,750"
South Beacon Hill,"1,667",,,"1,695",
Holly Park,"1,667",,,,"2,145"
Brighton,"1,712",,"1,725","1,945","2,395"
Dunlap,"1,712",,"1,335","1,850",
Rainier Beach,"1,622",,,"1,549","2,295"
Rainier View,"1,380",,,,"1,997"
Mount Baker,"1,828","1,032","1,445","1,795","2,395"
Columbia City,"1,667","1,200","1,835","2,304","2,599"
Highland Park,"1,757",,"1,200","1,799","2,680"
North Delridge,"1,728","1,620","1,475","1,995","2,848"
Riverview,"1,757",,"1,295","1,623","2,673"
High Point,"1,728",,"1,905","1,985","2,475"
South Delridge,"1,757",,"1,368","1,695","2,295"
Roxhill,"1,728",,"1,410","1,590","1,745"
Seward Park,"1,712",,"1,325","1,450","2,500"
Wedgwood,"1,733","1,295","1,195","1,650","2,495"
Portage Bay,"1,885","1,150","1,575",,
Montlake,"1,869","1,195","1,495","2,195","3,250"
Madison Park,"1,803",,"1,475","2,400",
Broadway,"1,880","1,195","1,500","2,225","3,398"
Stevens,"1,803","1,195","1,558","1,946","3,650"
Victory Heights,"1,585",,,,
Matthews Beach,"1,645",,,,
Meadowbrook,"1,645",,,,
Olympic Hills,"1,585",,,,
Cedar Park,"1,585",,,,
Industrial District,"1,757",,,,
Broadview,"1,582",,"1,395","1,555","2,495"
Bitter Lake,"1,605","1,095","1,295","1,595","2,395"
Haller Lake,"1,594",,"1,300","1,565","2,448"
Pinehurst,"1,585",,"1,250","1,575","2,813"
North Beach/Blue Ridge,"1,549",,"1,560","1,995",
North College Park,"1,714","1,150","1,295","1,672","2,523"
Maple Leaf,"1,645","1,365","1,250","1,895","2,950"
Crown Hill,"1,549","1,060","1,475","1,995","3,196"
Greenwood,"1,715",995,"1,347","1,871","2,950"
Sunset Hill,"1,882","1,535","1,780","2,550","2,495"
